15-Feb-25 19:27:26 - Length of trainig data is  2119719
15-Feb-25 19:27:31 - Vocaab training legth to 2119719
15-Feb-25 19:27:31 - Training Non contextual tokeniser
15-Feb-25 19:27:32 - Training of Vocabulary complete
15-Feb-25 19:27:32 - Sentence: The Cat sat on the Fence
15-Feb-25 19:27:32 - Tokens:  ['The▁', 'C', 'at▁', 'sat▁', 'on▁', 'the▁', 'F', 'en', 'ce▁']
15-Feb-25 19:27:32 - Token IDs: [50, 1972, 53, 1106, 58, 15, 1971, 23, 122]
15-Feb-25 19:27:32 - Token folder already exisitng: ./train_tokens Not overwriting
15-Feb-25 19:27:32 - vocab_size=2000 embedding_dim/d_model=512
15-Feb-25 19:27:33 - Training model...
15-Feb-25 19:27:33 - [Epoch=1 | Batch=25] loss=8.0890
15-Feb-25 19:27:34 - [Epoch=1 | Batch=50] loss=8.0345
15-Feb-25 19:27:34 - [Epoch=1 | Batch=75] loss=7.9884
15-Feb-25 19:27:34 - [Epoch=1 | Batch=100] loss=7.9597
15-Feb-25 19:27:35 - [Epoch=1 | Batch=125] loss=7.9236
15-Feb-25 19:27:35 - [Epoch=1 | Batch=150] loss=7.8930
15-Feb-25 19:27:35 - [Epoch=1 | Batch=175] loss=7.8491
15-Feb-25 19:27:36 - [Epoch=1 | Batch=200] loss=7.8318
15-Feb-25 19:27:36 - [Epoch=1 | Batch=225] loss=7.7781
15-Feb-25 19:27:36 - [Epoch=1 | Batch=250] loss=7.7842
15-Feb-25 19:27:37 - [Epoch=1 | Batch=275] loss=7.7459
15-Feb-25 19:27:37 - [Epoch=1 | Batch=300] loss=7.6747
15-Feb-25 19:27:38 - [Epoch=1 | Batch=325] loss=7.6403
15-Feb-25 19:27:38 - [Epoch=1 | Batch=350] loss=7.6009
15-Feb-25 19:27:38 - [Epoch=1 | Batch=375] loss=7.5956
15-Feb-25 19:27:39 - [Epoch=1 | Batch=400] loss=7.5490
15-Feb-25 19:27:39 - [Epoch=1 | Batch=425] loss=7.4557
