17-Feb-25 15:47:59 - Created path loss file loss_log_20250217154759_.npy.npz
17-Feb-25 15:48:12 - Length of trainig data is  2119719
17-Feb-25 15:48:21 - Vocaab training legth to 2119719
17-Feb-25 15:48:21 - Training Non contextual tokeniser
17-Feb-25 15:48:21 - Training of Vocabulary complete
17-Feb-25 15:48:21 - Sentence: The Cat sat on the Fence
17-Feb-25 15:48:21 - Tokens:  ['The▁', 'C', 'at▁', 'sat▁', 'on▁', 'the▁', 'F', 'en', 'ce▁']
17-Feb-25 15:48:21 - Token IDs: [50, 1972, 53, 1106, 58, 15, 1971, 23, 122]
17-Feb-25 15:48:21 - Token folder already exisitng: ./train_tokens Not overwriting
17-Feb-25 15:48:21 - vocab_size=2000 embedding_dim/d_model=512
17-Feb-25 15:48:23 - Training model...
17-Feb-25 15:48:23 - Total Training Steps: 26400
17-Feb-25 15:48:23 - batch_input.shape=torch.Size([20, 999])
17-Feb-25 15:48:23 - batch_labels.shape=torch.Size([20, 999])
17-Feb-25 15:48:23 - Example input: Ben says. "Can you show me how to 
17-Feb-25 15:48:23 - Example labels: says. "Can you show me how to play 
17-Feb-25 15:48:23 - pos_embedded_tokens.shape=torch.Size([20, 999, 512]), causal_mask.shape=torch.Size([999, 999])batch_size=20, seq_length=1000
17-Feb-25 15:48:57 - [Epoch=1 | Step=100/26400] loss=2.7088
17-Feb-25 15:49:29 - [Epoch=1 | Step=200/26400] loss=2.2268
17-Feb-25 15:50:03 - [Epoch=1 | Step=300/26400] loss=2.1841
17-Feb-25 15:50:36 - [Epoch=1 | Step=400/26400] loss=2.3707
17-Feb-25 15:51:12 - [Epoch=1 | Step=500/26400] loss=2.7406
17-Feb-25 15:51:48 - [Epoch=1 | Step=600/26400] loss=2.2563
17-Feb-25 15:52:25 - [Epoch=1 | Step=700/26400] loss=2.3532
17-Feb-25 15:53:02 - [Epoch=1 | Step=800/26400] loss=2.2066
17-Feb-25 15:53:35 - [Epoch=1 | Step=900/26400] loss=2.4347
17-Feb-25 15:54:10 - [Epoch=1 | Step=1000/26400] loss=2.7328
17-Feb-25 15:54:44 - [Epoch=1 | Step=1100/26400] loss=2.3614
17-Feb-25 15:55:18 - [Epoch=1 | Step=1200/26400] loss=2.2969
17-Feb-25 15:55:52 - [Epoch=1 | Step=1300/26400] loss=2.4286
17-Feb-25 15:56:28 - [Epoch=1 | Step=1400/26400] loss=2.2381
17-Feb-25 15:57:04 - [Epoch=1 | Step=1500/26400] loss=2.4208
17-Feb-25 15:57:43 - [Epoch=1 | Step=1600/26400] loss=2.2427
17-Feb-25 15:58:21 - [Epoch=1 | Step=1700/26400] loss=2.3304
